region, delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
Melbourne,26,8,177.0,388.31,464.35,479.39,505.29
 LosAngeles,26,8,177.0,319.8,332.94,352.44,445.36
 Tokyo,26,8,177.0,298.51,420.52,436.03,492.06
 Amsterdam,26,8,177.0,187.4,203.92,231.6,396.21
 Frankfurt,26,8,177.0,191.94,206.68,235.11,400.9
 NewYork,26,8,177.0,238.89,275.78,299.31,421.27
 CapeTown,26,8,177.0,256.09,347.47,376.04,544.95
 SaoPaulo,26,8,177.0,290.1,388.96,410.04,558.22
 Cairo,26,8,177.0,238.35,293.03,326.6,473.98
 Istanbul,26,8,177.0,221.27,249.38,277.42,437.1
 Paris,26,8,177.0,189.2,207.67,241.9,414.54
 Montreal,26,8,177.0,266.61,310.16,333.35,446.44
region, delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
Melbourne,2,16,379.14,591.38,629.77,673.41,673.41
 LosAngeles,2,16,379.14,443.52,522.39,557.94,557.94
 Tokyo,2,16,379.14,510.98,591.04,637.39,637.39
 Amsterdam,2,16,379.14,453.61,481.56,526.79,526.79
 Frankfurt,2,16,379.14,460.36,484.16,530.15,530.15
 NewYork,2,16,379.14,379.22,457.01,488.57,488.57
 CapeTown,2,16,379.14,524.72,618.08,667.54,667.54
 SaoPaulo,2,16,379.14,501.64,585.53,620.95,620.95
 Cairo,2,16,379.14,503.28,564.6,609.7,609.7
 Istanbul,2,16,379.14,490.99,527.86,577.53,577.53
 Paris,2,16,379.14,454.71,478.8,527.68,527.68
 Montreal,2,16,379.14,387.94,459.46,499.13,499.13
region, delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
Melbourne,2,16,853.2,856.2,1077.02,1099.26,1099.26
 LosAngeles,2,16,853.2,1126.48,1140.86,1181.97,1181.97
 Tokyo,2,16,853.2,1110.93,1233.68,1252.28,1252.28
 Amsterdam,2,16,853.2,1002.59,1041.03,1140.28,1140.28
 Frankfurt,2,16,853.2,1005.29,1042.84,1139.75,1139.75
 NewYork,2,16,853.2,1055.52,1093.0,1133.81,1133.81
 CapeTown,2,16,853.2,853.22,1040.43,1129.41,1129.41
 SaoPaulo,2,16,853.2,1099.5,1204.37,1240.74,1240.74
 Cairo,2,16,853.2,1045.16,1127.59,1220.31,1220.31
 Istanbul,2,16,853.2,1032.26,1077.17,1186.74,1186.74
 Paris,2,16,853.2,1003.36,1039.94,1140.55,1140.55
 Montreal,2,16,853.2,1056.54,1103.39,1142.0,1142.0
