region, delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT 
Melbourne,26,8,177.0,388.31,464.35,479.39,505.29
 LosAngeles,26,8,177.0,319.8,332.94,352.44,445.36
 Tokyo,26,8,177.0,298.51,420.52,436.03,492.06
 Amsterdam,26,8,177.0,187.4,203.92,231.6,396.21
 Frankfurt,26,8,177.0,191.94,206.68,235.11,400.9
 NewYork,26,8,177.0,238.89,275.78,299.31,421.27
 CapeTown,26,8,177.0,256.09,347.47,376.04,544.95
 SaoPaulo,26,8,177.0,290.1,388.96,410.04,558.22
 Cairo,26,8,177.0,238.35,293.03,326.6,473.98
 Istanbul,26,8,177.0,221.27,249.38,277.42,437.1
 Paris,26,8,177.0,189.2,207.67,241.9,414.54
 Montreal,26,8,177.0,266.61,310.16,333.35,446.44
