region, delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT ,FTL-HS,,,,,,,,,,,,
Melbourne,26,8,177,388.31,464.35,479.39,505.29,,,2.17550317639375,2.87796875394362,,2.83088254229868,,2.29303907048541,,2.17550317639375,2.29303907048541,2.36730914181113,2.83088254229868
 LosAngeles,26,8,177,319.8,332.94,352.44,445.36,,,2.65396533141728,2.07250206440958,,3.69596622889306,,3.35367722165475,,2.65396533141728,3.35367722165475,3.55009911695801,3.69596622889306
 Tokyo,26,8,177,298.51,420.52,436.03,492.06,,,2.54497419013941,,,4.1951023416301,,2.87200421989313,,2.54497419013941,2.87200421989313,2.97793208408637,4.1951023416301
 Amsterdam,26,8,177,187.4,203.92,231.6,396.21,,,2.87796875394362,,,6.08473852721451,,4.92348877374784,,2.87796875394362,4.92348877374784,5.59180070615928,6.08473852721451
 Frankfurt,26,8,177,191.94,206.68,235.11,400.9,,,2.84297829882764,,,5.93805355840367,,4.84773084938965,,2.84297829882764,4.84773084938965,5.51456357654345,5.93805355840367
 NewYork,26,8,177,238.89,275.78,299.31,421.27,,,2.69140930994374,,,4.74615932018921,,3.78807924893923,,2.69140930994374,3.78807924893923,4.11128435709624,4.74615932018921
 CapeTown,26,8,177,256.09,347.47,376.04,544.95,,,2.07250206440958,,,4.41020734897888,,3.0034304861185,,2.07250206440958,3.0034304861185,3.25038132788442,4.41020734897888
 SaoPaulo,26,8,177,290.1,388.96,410.04,558.22,,,2.22267206477733,,,4.27693898655636,,3.02589991220369,,2.22267206477733,3.02589991220369,3.18989099136158,4.27693898655636
 Cairo,26,8,177,238.35,293.03,326.6,473.98,,,2.57460230389468,,,5.11982378854626,,3.73640538885487,,2.57460230389468,3.73640538885487,4.16445415145207,5.11982378854626
 Istanbul,26,8,177,221.27,249.38,277.42,437.1,,,2.71503088538092,,,5.36331179102454,,4.27777377261913,,2.71503088538092,4.27777377261913,4.75876172908814,5.36331179102454
 Paris,26,8,177,189.2,207.67,241.9,414.54,,,2.75136295653013,,,6.02827695560254,,4.71496486151302,,2.75136295653013,4.71496486151302,5.49212693215197,6.02827695560254
 Montreal,26,8,177,266.61,310.16,333.35,446.44,,,2.55801451482842,,,4.28341022467274,,3.42582870856457,,2.55801451482842,3.42582870856457,3.68197059582151,4.28341022467274
region, delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT ,AWARE-HS,,,,,,,,,,,,
Melbourne,2,16,379.14,591.38,629.77,673.41,673.41,,,,,,,,,,2.55674865420721,3.68852687616531,4.05421455920118,4.74773930116754
 LosAngeles,2,16,379.14,443.52,522.39,557.94,557.94,,,,,,,,,,,,,
 Tokyo,2,16,379.14,510.98,591.04,637.39,637.39,,,,,,,,,,,,,
 Amsterdam,2,16,379.14,453.61,481.56,526.79,526.79,,,,,,,,,,,,,
 Frankfurt,2,16,379.14,460.36,484.16,530.15,530.15,,,,,,,,,,,,,
 NewYork,2,16,379.14,379.22,457.01,488.57,488.57,,,,,,,,,,,,,
 CapeTown,2,16,379.14,524.72,618.08,667.54,667.54,,,,,,,,,,,,,
 SaoPaulo,2,16,379.14,501.64,585.53,620.95,620.95,,,,,,,,,,,,,
 Cairo,2,16,379.14,503.28,564.6,609.7,609.7,,,,,,,,,,,,,
 Istanbul,2,16,379.14,490.99,527.86,577.53,577.53,,,,,,,,,,,,,
 Paris,2,16,379.14,454.71,478.8,527.68,527.68,,,,,,,,,,,,,
 Montreal,2,16,379.14,387.94,459.46,499.13,499.13,,,,,,,,,,,,,
region, delta, t, consensus, firstResponse, tVmaxP1, 2tVmaxP1, linearizableT ,HS,,,,,,,,,,,,
Melbourne,2,16,853.2,856.2,1077.02,1099.26,1099.26,,,,,,,,,,,,,
 LosAngeles,2,16,853.2,1126.48,1140.86,1181.97,1181.97,,,,,,,,,,,,,
 Tokyo,2,16,853.2,1110.93,1233.68,1252.28,1252.28,,,,,,,,,,,,,
 Amsterdam,2,16,853.2,1002.59,1041.03,1140.28,1140.28,,,,,,,,,,,,,
 Frankfurt,2,16,853.2,1005.29,1042.84,1139.75,1139.75,,,,,,,,,,,,,
 NewYork,2,16,853.2,1055.52,1093,1133.81,1133.81,,,,,,,,,,,,,
 CapeTown,2,16,853.2,853.22,1040.43,1129.41,1129.41,,,,,,,,,,,,,
 SaoPaulo,2,16,853.2,1099.5,1204.37,1240.74,1240.74,,,,,,,,,,,,,
 Cairo,2,16,853.2,1045.16,1127.59,1220.31,1220.31,,,,,,,,,,,,,
 Istanbul,2,16,853.2,1032.26,1077.17,1186.74,1186.74,,,,,,,,,,,,,
